seconds_since_2019_07_04_utc,magnitude,event_id
105037.400,3.2,ci38447999
105505.380,3.45,ci38448031
106156.000,2.62,ci38448071
106157.480,2.67,ci37247972
106812.150,2.81,ci38448143
107558.100,2.52,ci38448183
108563.110,3.65,ci38448295
110442.650,3.22,ci38448487
111540.820,2.63,ci38448591
111573.610,2.58,ci38448599
111742.360,3.23,ci38448631
113257.110,3.72,ci38448791
113953.480,3.46,ci38448863
115243.320,2.9,ci38449015
116464.780,3.47,ci38449191
118009.710,2.99,ci38449335
118442.480,3.48,ci38449351
119480.610,2.9,ci38449503
121589.080,3.62,ci38449719
123394.490,3.1,ci38449919
124037.700,2.53,ci38449999
124397.450,2.71,ci38450047
125846.570,2.89,ci38450215
125978.920,3.54,ci38450223
126473.040,5.37,ci38450263
126520.190,3.75,ci37260284
126609.340,3.03,ci38450271
126691.810,2.84,ci38450279
126739.080,2.71,ci38450287
127039.560,2.52,ci38450295
127224.900,2.59,ci38450319
127508.720,2.58,ci38450367
127754.850,3.03,ci38450415
127761.530,2.64,ci37256244
127774.080,2.8,ci37256252
127891.370,2.58,ci38450447
128163.920,3.19,ci38450511
129110.760,2.64,ci38450631
129529.200,2.9,ci38450663
129910.330,2.55,ci38450735
131037.920,3.35,ci38450935
131118.720,2.5,ci38450943
131838.140,2.86,ci38451063
131910.020,4.09,ci38451079
131946.080,3.11,ci37260292
132600.450,2.59,ci38451175
132904.830,3.65,ci38451239
133943.370,2.75,ci38451383
135663.010,2.74,ci38451623
136053.490,2.61,ci38451671
136541.040,2.62,ci37259684
136907.650,2.55,ci38451775
139173.450,3.94,ci38452095
139229.910,2.76,ci38452103
140409.290,2.78,ci38452247
140617.600,2.76,ci38452271
141137.950,2.53,ci38452367
141543.780,2.55,ci38452431
143163.860,3,ci38452607
147756.510,3.84,ci38453279
151032.500,2.52,ci38453711
151196.230,3.41,ci38453719
151792.600,2.7,ci38453815
153630.990,2.62,ci38454007
158376.980,2.76,ci38454567
161478.710,2.74,ci38454919
161498.360,2.64,ci38454927
162817.620,2.84,ci38455103
163051.160,2.84,ci38455135
163826.070,2.75,ci38455199
165912.050,2.78,ci38455447
166048.320,2.78,ci38455463
166222.660,2.54,ci38455487
167903.380,3.07,ci38455679
169651.430,2.66,ci38455903
173459.270,2.58,ci38456327
173582.720,3.5,ci38456351
173632.470,2.71,ci38456359
173681.710,2.76,ci38456367
173739.130,2.93,ci38456375
173937.790,2.66,ci38456391
174007.140,2.94,ci38456407
175885.700,3.67,ci38456615
175913.750,2.91,ci38456623
179610.770,2.75,ci38457015
180672.230,2.54,ci38457103
180924.560,2.5,ci38457143
182534.070,2.59,ci38457263
183313.090,2.8,ci38457343
184592.480,4.97,ci38457487
184633.500,4.14,ci37257780
184793.040,7.1,ci38457511
184836.080,4.33,ci37222188
184841.140,4.81,ci37222196
184870.050,4.33,ci37222204
184879.190,4.15,ci37260300
184923.570,4.64,ci38457519
184937.100,4.55,ci37219484
184947.160,4.46,ci37219492
184955.630,4.73,ci37219500
184968.300,4.64,ci37219156
184987.570,3.78,ci37260308
184999.870,4.52,ci37219468
185009.560,4,ci37260316
185014.710,4.22,ci37219476
185030.720,4.84,ci37219164
185047.550,3.91,ci37219508
185055.200,3.52,ci37260444
185062.370,4.19,ci38457535
185073.520,4.07,ci37219516
185096.850,3.92,ci37260452
185119.720,3.91,ci37219524
185127.970,4.61,ci37219172
185142.310,3.67,ci37260468
185149.560,3.98,ci37260460
185164.010,4.02,ci37219540
185187.680,3.76,ci37260476
185200.490,3.57,ci37219548
185211.990,4.09,ci37219556
185224.570,3.84,ci37260484
185227.010,4.5,ci37219180
185231.370,4.57,ci37219564
185238.420,3.91,ci37260492
185245.350,3.92,ci37260500
185256.260,4.03,ci37219572
185280.730,4.09,ci38457551
185292.340,4.09,ci37219580
185305.160,3.98,ci37219588
185326.550,4.19,ci38457559
185350.290,4.02,ci37219596
185355.860,4.01,ci38457575
185368.840,4.07,ci37219604
185372.080,4.51,ci38457583
185387.130,3.57,ci37219612
185390.040,3.57,ci37260612
185400.710,3.56,ci37260620
185425.050,4.49,ci38457591
185443.010,3.53,ci37219620
185459.670,3.9,ci37219628
185470.380,3.55,ci37219636
185484.540,3.62,ci37219644
185493.720,3.45,ci37260788
185508.760,3.97,ci37219652
185518.270,3.86,ci37219660
185533.430,3.32,ci37260804
185545.640,3.61,ci37219668
185549.440,3.68,ci37219676
185566.660,4.17,ci38457599
185583.660,3.9,ci37219684
185600.200,4.08,ci37219700
185619.100,3.8,ci37219716
185619.450,4.01,ci37219708
185628.800,3.19,ci37261156
185635.940,3.51,ci37260828
185661.530,3.63,ci37219732
185667.200,3.43,ci37260860
185676.640,3.29,ci37261164
185682.840,3.74,ci37219740
185695.980,3.52,ci37219788
185705.420,4.09,ci38457607
185724.390,3.42,ci37260868
185730.660,3.67,ci37219796
185744.730,3.39,ci37219804
185749.820,3.35,ci37260876
185758.410,3.49,ci37260884
185776.460,4.35,ci38457615
185788.480,3.85,ci37219812
185814.860,3.22,ci37260892
185825.160,3.63,ci37219820
185845.270,3.53,ci37219828
185864.910,3.47,ci37260924
185902.930,3.79,ci37219836
185921.000,3.26,ci37261204
185936.100,3.45,ci38457623
185942.720,3.69,ci37219844
185954.680,3.84,ci37421221
185974.110,3.74,ci37421237
185981.270,3.24,ci37219852
186004.140,3.65,ci38457631
186016.160,2.99,ci37261220
186032.540,3.42,ci37219860
186043.090,3.36,ci37261244
186051.430,3.49,ci37219868
186074.110,3.14,ci37219876
186087.460,3.18,ci37261260
186098.650,3.98,ci38457639
186106.460,3.46,ci37261268
186124.410,3.2,ci37261276
186129.680,3.57,ci37261284
186145.640,3.3,ci37219884
186157.900,3.46,ci37261436
186165.760,3.57,ci37219908
186172.530,3.86,ci38457655
186189.040,3.85,ci37219900
186212.470,3.15,ci37261468
186241.600,3.86,ci38457663
186250.780,3.6,ci37261484
186257.710,3.96,ci37219924
186290.150,3.29,ci37219948
186309.010,3.47,ci38457671
186313.210,3.49,ci37220108
186329.320,3.46,ci37220268
186354.830,3.52,ci37220276
186379.420,3.16,ci37261500
186386.870,4.26,ci38457679
186398.500,3.72,ci37220284
186417.130,3.34,ci37261516
186420.080,3.57,ci37220292
186428.740,3.32,ci37261540
186473.420,5.5,ci38457687
186494.550,3.8,ci37261556
186504.660,3.98,ci37220300
186516.260,3.55,ci37261564
